MMSI,first_timestamp,last_timestamp,point_count,duration_hours,start_lat,start_lon,end_lat,end_lon,total_distance_km,mean_sog,width,length,draught,predicted_route,predicted_route_probability,route_distance,route_distance_threshold,route_distance_ratio,anomaly_score,is_anomaly,predicted_anchorage_id,predicted_anchorage_lat,predicted_anchorage_lon,anchorage_distance_km,anchorage_confidence
219419000,2026-01-07 02:00:00,2026-01-10 23:00:00,94,93.0,55.519672,5.6204886,55.46412,6.475857,426.23666958808514,2.9090096461702126,18.0,84.0,5.3,route_02,0.6501797458684961,5.882592990205431,3.1266177215723197,1.8814557819518727,1.4985468999967804,True,anchorage_143,55.50846652513967,5.062197154189944,89.20038234370045,0.021929732623957
248851000,2026-01-06 16:00:00,2026-01-10 23:00:00,104,103.0,57.685947,7.8594985,56.701435,11.802916,1017.9533313944238,5.686147758764424,44.0,250.0,13.0,route_04,0.481247248328854,6.296188812594868,3.9988863107056822,1.5744855750809732,1.3105523692285164,True,anchorage_147,56.551030545454545,11.842199590909088,16.895975575244716,0.10584264316155048
244859000,2026-01-05 05:00:00,2026-01-06 19:00:00,39,38.0,58.492966,10.163926,56.016586,7.28828,587.0393728775836,8.761332285566665,16.0,115.0,7.0,route_03,0.5267132509390011,5.524171690689999,3.8159107527646667,1.447667948388908,1.2040726485569309,True,anchorage_154,56.31643754545455,7.640537590909091,39.84095503598167,0.047800056147859774
220516000,2026-01-06 07:00:00,2026-01-08 11:00:00,53,52.0,54.36582,10.140419,58.398865,10.400018,671.4017461665832,7.249215891267926,16.0,106.0,6.2,route_04,0.5514549685367592,5.781619902731047,3.9988863107056822,1.445807520772144,1.1964918984449182,True,anchorage_064,58.18683659881423,11.2086168784585,52.81022189097532,0.03648954393905321
241969000,2026-01-01 00:00:00,2026-01-02 10:00:00,35,34.0,56.397137,11.49397,55.54367,16.046751,633.8759714080536,10.681959708571428,36.0,228.0,8.3,route_09,0.4412223789356302,5.16599488998008,3.740023557864132,1.381273355649743,1.1756494220033997,True,anchorage_146,55.205532567567566,15.287495499999999,60.9497616577903,0.0317713673146607
256717000,2026-01-04 16:00:00,2026-01-06 13:00:00,46,45.0,57.673782,11.8090515,54.10251,9.327543,612.850893632624,7.65911664928261,15.0,90.0,4.7,route_00,0.443431279921766,4.829703287190375,3.663217785296076,1.3184319279559347,1.1279661259865095,True,anchorage_057,54.15196263636363,9.371304,6.1942209719403944,0.24407445281847207
314237000,2026-01-01 00:00:00,2026-01-04 00:00:00,73,72.0,57.745785,9.343055,57.82174,8.75973,749.4398665294841,5.878930324224658,13.0,88.0,3.8,route_01,0.37299632034619196,5.721486460111396,4.454993695235818,1.2842860958995224,1.119965491838094,True,anchorage_066,57.59301078126156,9.961012352848686,75.75803044709859,0.025720816081635033
246278000,2026-01-10 20:00:00,2026-01-10 23:00:00,4,3.0,55.270164,6.230509,55.71704,6.6580706,56.52620344387999,11.4630005,21.0,121.0,6.7,route_02,0.5385528693124672,4.177188947049089,3.1266177215723197,1.3360088501476464,1.117368420282618,True,anchorage_154,56.31643754545455,7.640537590909091,90.39125975854105,0.021647069270695936
244641000,2026-01-01 00:00:00,2026-01-10 23:00:00,240,239.0,55.088055,8.568233,56.1507,12.43989,776.6092106877207,1.8849048856693331,15.0,58.0,2.4,route_03,0.63266688571982,5.216331060250064,3.8159107527646667,1.3669950368914625,1.117079556238642,True,anchorage_123,56.094522714285716,12.45790180952381,6.345616842062239,0.23964675563823168
352002808,2026-01-02 05:00:00,2026-01-04 16:00:00,60,59.0,54.117386,12.087725,57.790173,8.048603,618.8436069256817,5.825389460956667,18.0,146.0,7.3,route_06,0.6667000516882157,6.44595525374846,4.795039096516717,1.3442967041563907,1.091547515195239,True,anchorage_061,57.121492665178046,8.598549033846517,81.30541571417987,0.024008042968802674
304145000,2026-01-04 01:00:00,2026-01-07 17:00:00,89,88.0,54.76032,15.965559,55.61467,15.90397,943.2574180488604,6.067360705608988,14.0,90.0,5.8,route_04,0.5631161972545582,5.179945550175053,3.9988863107056822,1.2953470410767816,1.0807312314939466,True,anchorage_146,55.205532567567566,15.287495499999999,59.8668611237319,0.03232748459631819
219835000,2026-01-04 02:00:00,2026-01-10 23:00:00,166,165.0,55.149597,6.7554994,55.580193,6.2591987,1532.069491902737,5.2982206490475905,58.0,399.0,11.2,route_01,0.3616085739475023,5.406589488397389,4.454993695235818,1.2136020515986834,1.069799395212137,True,anchorage_143,55.50846652513967,5.062197154189944,75.72438439695895,0.025731950346309235
244780424,2026-01-01 00:00:00,2026-01-03 02:00:00,51,50.0,55.359154,12.687189,55.808884,6.853465,654.7145996899861,7.133984723529412,13.0,118.0,6.1,route_01,0.7027813002324965,5.880002368940454,4.454993695235818,1.3198677195050903,1.0642054645706935,True,anchorage_154,56.31643754545455,7.640537590909091,74.6483786812344,0.02609318076143017
247489200,2026-01-06 03:00:00,2026-01-07 04:00:00,26,25.0,55.053665,7.377931,55.20802,13.3463,764.9013544311064,17.094969423076922,26.0,204.0,6.0,route_05,0.5336662928715699,6.0186314207560105,4.7727135229159625,1.2610502163722652,1.0623710890613065,True,anchorage_007,55.36983676201373,13.148662311212814,21.917113325567325,0.08362213168350906
636024483,2026-01-05 06:00:00,2026-01-08 11:00:00,78,77.0,54.43485,7.488566,54.975193,7.1061025,1069.8231125163459,7.8771373646679494,30.0,210.0,8.1,route_10,0.5908442680838081,6.184600149146556,4.83570377166518,1.2789452044985132,1.0614978363529328,True,anchorage_047,54.75868224661246,8.294702672086721,79.77692474302673,0.024456776850985018
219030955,2026-01-01 00:00:00,2026-01-04 16:00:00,89,88.0,56.697193,8.218415,55.58101,15.900521,734.7053580366652,4.6466580353370786,12.0,56.0,7.0,route_10,0.5423981080303113,6.1024294648106245,4.83570377166518,1.2619527069809005,1.0608650032280975,True,anchorage_146,55.205532567567566,15.287495499999999,56.93753799296947,0.033934230510927955
246415000,2026-01-01 03:00:00,2026-01-07 22:00:00,164,163.0,55.511253,15.927757,54.378605,10.176092,557.9127555927334,1.9834755985207317,14.0,88.0,5.2,route_08,0.5178151120312656,4.894384977294346,3.907456090320062,1.2525758099801052,1.0599780794772624,True,anchorage_008,54.35458708533333,10.153914469777776,3.03259196225434,0.39740952872803614
255738000,2026-01-01 00:00:00,2026-01-04 09:00:00,82,81.0,56.6042,7.717175,55.983944,7.066183,1166.3599364450693,7.988241330689023,28.0,169.0,7.3,route_01,0.5629926862607385,5.642970435307786,4.454993695235818,1.2666618229656292,1.0592481956590374,True,anchorage_154,56.31643754545455,7.640537590909091,51.30681744181358,0.037518653260121486
211317180,2026-01-03 03:00:00,2026-01-06 15:00:00,85,84.0,55.807537,15.674163,55.93034,15.798348,986.356908444973,6.6114568343470586,17.0,100.0,7.3,route_11,0.7109263058008206,6.136298356298645,4.7435108245362505,1.2936195538034976,1.042483088902418,True,anchorage_146,55.205532567567566,15.287495499999999,86.7586684582012,0.022533010406097436
255806190,2026-01-06 23:00:00,2026-01-07 15:00:00,17,16.0,57.679245,8.075494,55.293713,7.3257365,276.39866818891056,9.593605288235294,22.0,139.0,7.6,route_03,0.5284445651257563,4.700084398243993,3.8159107527646667,1.2317071081494066,1.0416691898306158,True,anchorage_003,55.46781469590185,8.433565617789089,72.611319317188,0.02680558417011218
538011029,2026-01-10 17:00:00,2026-01-10 23:00:00,7,6.0,55.575634,6.2974176,56.157936,6.6367245,68.17110885580358,6.463941385714286,23.0,157.0,5.9,route_02,0.5363059593722901,3.8426957853007013,3.1266177215723197,1.2290264200793561,1.0376933252164444,True,anchorage_154,56.31643754545455,7.640537590909091,64.48744952778262,0.030080865098672117
219543000,2026-01-02 18:00:00,2026-01-05 21:00:00,76,75.0,54.815895,16.493023,54.76022,16.300798,1112.0059086233762,8.325279083776318,32.0,172.0,7.7,route_11,0.4320600447709374,5.659298235802362,4.7435108245362505,1.1930610986548436,1.0367808127983984,True,anchorage_146,55.205532567567566,15.287495499999999,81.43660665299237,0.023970294097863724
257041670,2026-01-03 04:00:00,2026-01-09 10:00:00,151,150.0,57.84359,8.826254,57.87242,9.1215515,1180.8944040763763,4.504674976418543,13.0,90.0,4.571987,route_11,0.378929517738804,5.552195987493538,4.7435108245362505,1.17048241120781,1.0331294289711566,True,anchorage_066,57.59301078126156,9.961012352848686,58.724616993538774,0.032935572079652704
255802950,2026-01-06 05:00:00,2026-01-09 19:00:00,87,86.0,55.47659,16.224504,55.33749,16.347492,1069.1073409533703,7.106791062431035,15.0,84.0,5.0,route_11,0.6526378650124615,5.968680300622359,4.7435108245362505,1.2582832676904214,1.0305529845147008,True,anchorage_146,55.205532567567566,15.287495499999999,68.73084562734932,0.02827620654413136
219945000,2026-01-04 21:00:00,2026-01-06 02:00:00,30,29.0,58.287796,10.79318,58.268284,11.050867,619.1167475444689,12.376176441766667,30.0,178.0,6.3,route_11,0.5409267224017161,5.756884028813416,4.7435108245362505,1.213633581067297,1.0249935052000436,True,anchorage_064,58.18683659881423,11.2086168784585,12.935520166246159,0.13390896183983883
